/Q X,/Q Y,/CLK X,/CLK Y,/D X,/D Y
0,4.910393766810316e-08,0,0,0,0
3.90625e-14,1.244987724531587e-07,3.90625e-14,0,3.90625e-14,0.003125
1.171875e-13,4.475419402681545e-07,1.171875e-13,0,1.171875e-13,0.009375000000000001
1.5625e-13,6.243623125706318e-07,1.5625e-13,0,1.5625e-13,0.0125
2.34375e-13,1.010393459401267e-06,2.34375e-13,0,2.34375e-13,0.01875000000000001
3.906250000000001e-13,1.693610070175577e-06,3.906250000000001e-13,0,3.906250000000001e-13,0.03125000000000001
6.576915921757058e-13,2.760144596891652e-06,6.576915921757058e-13,0,6.576915921757058e-13,0.05261532737405646
1.191824776527117e-12,3.586034810840599e-06,1.191824776527117e-12,0,1.191824776527117e-12,0.09534598212216938
2.175466044354136e-12,3.130034046696123e-06,2.175466044354136e-12,0,2.175466044354136e-12,0.1740372835483309
3.883572327640965e-12,4.697839597918551e-07,3.883572327640965e-12,0,3.883572327640965e-12,0.3106857862112772
6.686681278286561e-12,-3.486490260704006e-06,6.686681278286561e-12,0,6.686681278286561e-12,0.5349345022629249
8.34334063914328e-12,-3.12801335461063e-06,8.34334063914328e-12,0,8.34334063914328e-12,0.6674672511314624
9.17167031957164e-12,-2.423846603243076e-06,9.17167031957164e-12,0,9.17167031957164e-12,0.7337336255657313
9.999999999999999e-12,-1.746163828772948e-06,9.999999999999999e-12,0,9.999999999999999e-12,0.8
1.0056508855074e-11,-1.8030757965461e-06,1.0056508855074e-11,0,1.0056508855074e-11,0.8
1.016952656522201e-11,-2.044646428838526e-06,1.016952656522201e-11,0,1.016952656522201e-11,0.8
1.022603542029601e-11,-2.214788413827272e-06,1.022603542029601e-11,0,1.022603542029601e-11,0.8
1.033905313044401e-11,-2.469377137660957e-06,1.033905313044401e-11,0,1.033905313044401e-11,0.8
1.055472064000453e-11,-2.806844039460735e-06,1.055472064000453e-11,0,1.055472064000453e-11,0.8
1.063354196973963e-11,-2.89326705882733e-06,1.063354196973963e-11,0,1.063354196973963e-11,0.8
1.079118462920981e-11,-3.002301087672541e-06,1.079118462920981e-11,0,1.079118462920981e-11,0.8
1.110646994815018e-11,-3.041230223745469e-06,1.110646994815018e-11,0,1.110646994815018e-11,0.8
1.173704058603092e-11,-2.602386121897198e-06,1.173704058603092e-11,0,1.173704058603092e-11,0.8
1.203148980655431e-11,-2.625522914402708e-06,1.203148980655431e-11,0,1.203148980655431e-11,0.8
1.262038824760111e-11,-1.611249536752345e-06,1.262038824760111e-11,0,1.262038824760111e-11,0.8
1.37981851296947e-11,3.281221596261244e-07,1.37981851296947e-11,0,1.37981851296947e-11,0.8
1.549759930101132e-11,2.06292154992708e-06,1.549759930101132e-11,0,1.549759930101132e-11,0.8
1.750705037479171e-11,2.747835676652938e-06,1.750705037479171e-11,0,1.750705037479171e-11,0.8
1.911314301344765e-11,2.290731799785108e-06,1.911314301344765e-11,0,1.911314301344765e-11,0.8
2.05773195519253e-11,1.774228783999483e-06,2.05773195519253e-11,0,2.05773195519253e-11,0.8
2.219558598319029e-11,1.166154030703124e-06,2.219558598319029e-11,0,2.219558598319029e-11,0.8
2.456458039952519e-11,4.529948862817953e-07,2.456458039952519e-11,0,2.456458039952519e-11,0.8
2.803908065365873e-11,-2.199387997749419e-07,2.803908065365873e-11,0,2.803908065365873e-11,0.8
