/CK X,/CK Y,/D X,/D Y,/QD X,/QD Y
0,0,0,0,0,4.910393769411801e-08
9.765624999999999e-15,0,9.765624999999999e-15,0.00078125,9.765624999999999e-15,4.937388105806451e-08
2.9296875e-14,0,2.9296875e-14,0.00234375,2.9296875e-14,5.074628339843011e-08
6.8359375e-14,0,6.8359375e-14,0.005468750000000001,6.8359375e-14,5.391454450706936e-08
1.254567070059807e-13,0,1.254567070059807e-13,0.01003653656047846,1.254567070059807e-13,5.837255907320831e-08
2.396513710179422e-13,0,2.396513710179422e-13,0.01917210968143538,2.396513710179422e-13,7.086445648661233e-08
3.791716811870243e-13,0,3.791716811870243e-13,0.03033373449496194,3.791716811870243e-13,8.549684820837543e-08
6.582123015251884e-13,0,6.582123015251884e-13,0.05265698412201508,6.582123015251884e-13,1.042577837035491e-07
1.216293542201517e-12,0,1.216293542201517e-12,0.09730348337612132,1.216293542201517e-12,1.295642363035851e-07
2.332456023554173e-12,0,2.332456023554173e-12,0.1865964818843339,2.332456023554173e-12,1.387438309431757e-07
4.128562189767971e-12,0,4.128562189767971e-12,0.3302849751814377,4.128562189767971e-12,9.946529088129079e-08
7.287286106323578e-12,0,7.287286106323578e-12,0.5829828885058863,7.287286106323578e-12,-3.012670082302026e-08
8.643643053161788e-12,0,8.643643053161788e-12,0.6914914442529431,8.643643053161788e-12,-5.278840655182427e-08
9.999999999999999e-12,0,9.999999999999999e-12,0.8,9.999999999999999e-12,-6.623468681951341e-08
1.009711678314537e-11,0,1.009711678314537e-11,0.8,1.009711678314537e-11,-7.146085981868214e-08
1.014567517471805e-11,0,1.014567517471805e-11,0.8,1.014567517471805e-11,-7.423265726978628e-08
1.024279195786342e-11,0,1.024279195786342e-11,0.8,1.024279195786342e-11,-7.924438091027029e-08
1.043702552415416e-11,0,1.043702552415416e-11,0.8,1.043702552415416e-11,-8.687270318790335e-08
1.07335087487877e-11,0,1.07335087487877e-11,0.8,1.07335087487877e-11,-9.405227897478111e-08
1.088175036110447e-11,0,1.088175036110447e-11,0.8,1.088175036110447e-11,-9.561081841547936e-08
1.117823358573801e-11,0,1.117823358573801e-11,0.8,1.117823358573801e-11,-9.603057125358197e-08
1.177120003500509e-11,0,1.177120003500509e-11,0.8,1.177120003500509e-11,-8.269151874667669e-08
1.295713293353924e-11,0,1.295713293353924e-11,0.8,1.295713293353924e-11,-4.370460684225081e-08
1.43481906602775e-11,0,1.43481906602775e-11,0.8,1.43481906602775e-11,1.61286518031474e-08
1.605075825086283e-11,0,1.605075825086283e-11,0.8,1.605075825086283e-11,8.219628236817054e-08
