/CLK (x=0.6) X,/CLK (x=0.6) Y,/D (x=0.6) X,/D (x=0.6) Y,/Q (x=0.6) X,/Q (x=0.6) Y
0,0,0,0,0,1.110440528831699e-07
3.90625e-14,0,3.90625e-14,0.00234375,3.90625e-14,2.629817836385758e-06
1.171875e-13,0,1.171875e-13,0.00703125,1.171875e-13,1.215208509565974e-05
1.5625e-13,0,1.5625e-13,0.009375000000000001,1.5625e-13,1.753476292612036e-05
2.34375e-13,0,2.34375e-13,0.0140625,2.34375e-13,2.933943058228589e-05
3.906250000000001e-13,0,3.906250000000001e-13,0.02343750000000001,3.906250000000001e-13,5.243704743196078e-05
6.408644611947055e-13,0,6.408644611947055e-13,0.03845186767168233,6.408644611947055e-13,8.797656494818255e-05
1.077856913185686e-12,0,1.077856913185686e-12,0.06467141479114116,1.077856913185686e-12,0.0001575844327844306
1.951841817167647e-12,0,1.951841817167647e-12,0.1171105090300588,1.951841817167647e-12,0.0002619562244287524
3.69981162513157e-12,0,3.69981162513157e-12,0.2219886975078942,3.69981162513157e-12,0.000407138308804761
6.903888348068561e-12,0,6.903888348068561e-12,0.4142333008841137,6.903888348068561e-12,0.0005415152025254396
9.999999999999999e-12,0,9.999999999999999e-12,0.6,9.999999999999999e-12,0.0005816892152029446
1.02193296502511e-11,0,1.02193296502511e-11,0.6,1.02193296502511e-11,0.0005559013159294226
1.065798895075332e-11,0,1.065798895075332e-11,0.6,1.065798895075332e-11,0.0004976074692205879
1.084133888987988e-11,0,1.084133888987988e-11,0.6,1.084133888987988e-11,0.0004731713525137291
1.120803876813302e-11,0,1.120803876813302e-11,0.6,1.120803876813302e-11,0.0004280497291283493
1.184423037961929e-11,0,1.184423037961929e-11,0.6,1.184423037961929e-11,0.00035416720548363
1.266319831015836e-11,0,1.266319831015836e-11,0.6,1.266319831015836e-11,0.0002695079438076085
1.306021907725983e-11,0,1.306021907725983e-11,0.6,1.306021907725983e-11,0.0002318547979025332
1.385426061146277e-11,0,1.385426061146277e-11,0.6,1.385426061146277e-11,0.0001634523379770124
1.544234367986865e-11,0,1.544234367986865e-11,0.6,1.544234367986865e-11,4.898031967236349e-05
1.608251525895054e-11,0,1.608251525895054e-11,0.6,1.608251525895054e-11,1.087635206425333e-05
1.736285841711433e-11,0,1.736285841711433e-11,0.6,1.736285841711433e-11,-6.193014630379166e-05
1.992354473344191e-11,0,1.992354473344191e-11,0.6,1.992354473344191e-11,-0.0001661481072589234
2.464784454358415e-11,0,2.464784454358415e-11,0.6,2.464784454358415e-11,-0.000255515492401357
