/D (x=0.8) X,/D (x=0.8) Y,/CLK (x=0.8) X,/CLK (x=0.8) Y,/Q (x=0.8) X,/Q (x=0.8) Y
0,0,0,0,0,4.152754030239925e-08
3.90625e-14,0.003125,3.90625e-14,0,3.90625e-14,3.513405812201187e-06
1.171875e-13,0.009375000000000001,1.171875e-13,0,1.171875e-13,1.695731283016764e-05
1.5625e-13,0.0125,1.5625e-13,0,1.5625e-13,2.468844457300876e-05
2.34375e-13,0.01875000000000001,2.34375e-13,0,2.34375e-13,4.154723347628864e-05
3.906250000000001e-13,0.03125000000000001,3.906250000000001e-13,0,3.906250000000001e-13,7.361596565649635e-05
6.473685606575821e-13,0.05178948485260658,6.473685606575821e-13,0,6.473685606575821e-13,0.0001353004975974802
1.020691355832852e-12,0.08165530846662812,1.020691355832852e-12,0,1.020691355832852e-12,0.0001933063403857356
1.76733694618339e-12,0.1413869556946712,1.76733694618339e-12,0,1.76733694618339e-12,0.0002624866039128251
2.14065974135866e-12,0.1712527793086928,2.14065974135866e-12,0,2.14065974135866e-12,0.000278159790182019
2.887305331709198e-12,0.2309844265367358,2.887305331709198e-12,0,2.887305331709198e-12,0.0002827849091320393
3.260628126884467e-12,0.2608502501507574,3.260628126884467e-12,0,3.260628126884467e-12,0.000275239423953217
4.007273717235007e-12,0.3205818973788006,4.007273717235007e-12,0,4.007273717235007e-12,0.0002466886474230844
4.380596512410276e-12,0.3504477209928221,4.380596512410276e-12,0,4.380596512410276e-12,0.0002283923180995174
5.127242102760815e-12,0.4101793682208652,5.127242102760815e-12,0,5.127242102760815e-12,0.0001871929534769563
6.620533283461893e-12,0.5296426626769515,6.620533283461893e-12,0,6.620533283461893e-12,0.0001098992539244346
8.310266641730946e-12,0.6648213313384758,8.310266641730946e-12,0,8.310266641730946e-12,4.46934409538108e-05
9.999999999999999e-12,0.8,9.999999999999999e-12,0,9.999999999999999e-12,-1.161439295543618e-05
1.029131743002064e-11,0.8,1.029131743002064e-11,0,1.029131743002064e-11,-7.818217835416072e-05
1.087382157715064e-11,0.8,1.087382157715064e-11,0,1.087382157715064e-11,-0.0001953649487993877
1.100583264372988e-11,0.8,1.100583264372988e-11,0,1.100583264372988e-11,-0.0002159199145625606
1.126985477688836e-11,0.8,1.126985477688836e-11,0,1.126985477688836e-11,-0.0002483137704872095
1.179789904320532e-11,0.8,1.179789904320532e-11,0,1.179789904320532e-11,-0.0002934978734705289
1.196984010071779e-11,0.8,1.196984010071779e-11,0,1.196984010071779e-11,-0.0003025332335239279
1.231372221574272e-11,0.8,1.231372221574272e-11,0,1.231372221574272e-11,-0.0003152140567325511
1.300148644579258e-11,0.8,1.300148644579258e-11,0,1.300148644579258e-11,-0.0003203895260026602
1.437701490589231e-11,0.8,1.437701490589231e-11,0,1.437701490589231e-11,-0.0002787259166259892
1.506477913594217e-11,0.8,1.506477913594217e-11,0,1.506477913594217e-11,-0.0002493872509451213
1.64403075960419e-11,0.8,1.64403075960419e-11,0,1.64403075960419e-11,-0.0001897362364100996
1.919136451624135e-11,0.8,1.919136451624135e-11,0,1.919136451624135e-11,-8.991381984785236e-05
2.469347835664025e-11,0.8,2.469347835664025e-11,0,2.469347835664025e-11,1.099601599222129e-05
3.201273394894215e-11,0.8,3.201273394894215e-11,0,3.201273394894215e-11,2.808203010592538e-05
4.132584420287342e-11,0.8,4.132584420287342e-11,0,4.132584420287342e-11,2.807283432661653e-05
5.254862950471648e-11,0.8,5.254862950471648e-11,0,5.254862950471648e-11,2.540014556007263e-06
6.777599623430169e-11,0.8,6.777599623430169e-11,0,6.777599623430169e-11,5.465397444538133e-06
8.792438746668987e-11,0.8,8.792438746668987e-11,0,8.792438746668987e-11,-1.387901576707027e-06
1.147815361519285e-10,0.8,1.147815361519285e-10,0,1.147815361519285e-10,4.729150233744066e-07
