/CLK (x=0.6) X,/CLK (x=0.6) Y,/D (x=0.6) X,/D (x=0.6) Y,/Q (x=0.6) X,/Q (x=0.6) Y
0,0,0,0,0,1.329252266519523e-07
3.90625e-14,0,3.90625e-14,0.00234375,3.90625e-14,1.806764964802589e-07
1.171875e-13,0,1.171875e-13,0.00703125,1.171875e-13,3.778835274745837e-07
1.5625e-13,0,1.5625e-13,0.009375000000000001,1.5625e-13,4.854862561247556e-07
2.34375e-13,0,2.34375e-13,0.0140625,2.34375e-13,7.228640231381905e-07
3.906250000000001e-13,0,3.906250000000001e-13,0.02343750000000001,3.906250000000001e-13,1.187568732045269e-06
6.889171089613797e-13,0,6.889171089613797e-13,0.04133502653768278,6.889171089613797e-13,2.006730605908496e-06
1.285501326884139e-12,0,1.285501326884139e-12,0.07713007961304834,1.285501326884139e-12,3.587128735205534e-06
2.478669762729658e-12,0,2.478669762729658e-12,0.1487201857637795,2.478669762729658e-12,5.52128627169655e-06
4.613844735375429e-12,0,4.613844735375429e-12,0.2768306841225258,4.613844735375429e-12,6.147800550616961e-06
7.306922367687714e-12,0,7.306922367687714e-12,0.4384153420612628,7.306922367687714e-12,4.620904061954682e-06
9.999999999999999e-12,0,9.999999999999999e-12,0.6,9.999999999999999e-12,2.119109433501919e-06
1.012152033038186e-11,0,1.012152033038186e-11,0.6,1.012152033038186e-11,1.750585418992995e-06
1.036456099114557e-11,0,1.036456099114557e-11,0.6,1.036456099114557e-11,8.873093961516383e-07
1.048608132152743e-11,0,1.048608132152743e-11,0.6,1.048608132152743e-11,4.427783402503111e-07
1.072912198229114e-11,0,1.072912198229114e-11,0.6,1.072912198229114e-11,-3.436348424168356e-07
1.121520330381857e-11,0,1.121520330381857e-11,0.6,1.121520330381857e-11,-1.761617954128006e-06
1.193988037021026e-11,0,1.193988037021026e-11,0.6,1.193988037021026e-11,-3.453902377112405e-06
1.338923450299365e-11,0,1.338923450299365e-11,0.6,1.338923450299365e-11,-5.691220673786863e-06
1.406613154416643e-11,0,1.406613154416643e-11,0.6,1.406613154416643e-11,-6.288382491494462e-06
1.541992562651199e-11,0,1.541992562651199e-11,0.6,1.541992562651199e-11,-6.953294986839714e-06
1.812751379120311e-11,0,1.812751379120311e-11,0.6,1.812751379120311e-11,-6.76854187097332e-06
2.301657479952848e-11,0,2.301657479952848e-11,0.6,2.301657479952848e-11,-3.996259858199369e-06
2.961035991127624e-11,0,2.961035991127624e-11,0.6,2.961035991127624e-11,-3.083478938223538e-08
3.765880903954523e-11,0,3.765880903954523e-11,0.6,3.765880903954523e-11,2.203224031039054e-06
4.488383273316914e-11,0,4.488383273316914e-11,0.6,4.488383273316914e-11,2.334992416650477e-06
5.355854937877823e-11,0,5.355854937877823e-11,0.6,5.355854937877823e-11,1.590218149656103e-06
6.474423302340524e-11,0,6.474423302340524e-11,0.6,6.474423302340524e-11,5.900044402090627e-07
7.37716094259059e-11,0,7.37716094259059e-11,0.6,7.37716094259059e-11,9.103405098747347e-08
8.240512940700665e-11,0,8.240512940700665e-11,0.6,8.240512940700665e-11,-1.114269926399929e-07
9.219444168240097e-11,0,9.219444168240097e-11,0.6,9.219444168240097e-11,-1.742007654725568e-07
1.079880277907495e-10,0,1.079880277907495e-10,0.6,1.079880277907495e-10,-1.111820463775476e-07
1.349039589750075e-10,0,1.349039589750075e-10,0.6,1.349039589750075e-10,5.577892980564534e-08
1.842111675069708e-10,0,1.842111675069708e-10,0.6,1.842111675069708e-10,1.764359103443012e-07
2.516188850316281e-10,0,2.516188850316281e-10,0.6,2.516188850316281e-10,1.359541818431119e-07
3.278667662846843e-10,0,3.278667662846843e-10,0.6,3.278667662846843e-10,1.328534006292568e-07
4.243705626779569e-10,0,4.243705626779569e-10,0.6,4.243705626779569e-10,1.356021436523491e-07
5.15779849671078e-10,0,5.15779849671078e-10,0.6,5.15779849671078e-10,1.562852158493314e-07
5.701427787488995e-10,0,5.701427787488995e-10,0.6,5.701427787488995e-10,1.98094938257597e-07
6.276536791061866e-10,0,6.276536791061866e-10,0.6,6.276536791061866e-10,1.499026852238642e-07
6.717268335388399e-10,0,6.717268335388399e-10,0.6,6.717268335388399e-10,-6.533858505624766e-08
7.2210171794773e-10,0,7.2210171794773e-10,0.6,7.2210171794773e-10,-9.209645796740466e-08
7.636533344249463e-10,0,7.636533344249463e-10,0.6,7.636533344249463e-10,1.098571680067091e-07
7.973926071130512e-10,0,7.973926071130512e-10,0.6,7.973926071130512e-10,-1.776946470039045e-07
8.247123850864808e-10,0,8.247123850864808e-10,0.6,8.247123850864808e-10,1.614206813204643e-07
8.319584012695105e-10,0,8.319584012695105e-10,0.6,8.319584012695105e-10,4.429514304305688e-07
8.464504336355698e-10,0,8.464504336355698e-10,0.6,8.464504336355698e-10,9.690676643349556e-07
8.703823874337705e-10,0,8.703823874337705e-10,0.6,8.703823874337705e-10,1.072350552875987e-06
8.892469450083682e-10,0,8.892469450083682e-10,0.6,8.892469450083682e-10,5.303962790700043e-07
9.144401247234853e-10,0,9.144401247234853e-10,0.6,9.144401247234853e-10,-6.526692898097273e-08
9.464308298034774e-10,0,9.464308298034774e-10,0.6,9.464308298034774e-10,-2.528421070958533e-07
9.892533041924461e-10,0,9.892533041924461e-10,0.6,9.892533041924461e-10,-1.505285383841261e-08
1.048181804595237e-09,0,1.048181804595237e-09,0.6,1.048181804595237e-09,1.479153181723716e-07
1.132639634790827e-09,0,1.132639634790827e-09,0.6,1.132639634790827e-09,1.456053948029822e-07
1.240541629114986e-09,0,1.240541629114986e-09,0.6,1.240541629114986e-09,1.280627512940026e-07
1.382939635292979e-09,0,1.382939635292979e-09,0.6,1.382939635292979e-09,1.419256550369534e-07
1.569403490853804e-09,0,1.569403490853804e-09,0.6,1.569403490853804e-09,1.219260386454984e-07
1.818931070417912e-09,0,1.818931070417912e-09,0.6,1.818931070417912e-09,1.462213362837588e-07
2.151076352913081e-09,0,2.151076352913081e-09,0.6,2.151076352913081e-09,1.180673013791731e-07
2.595501670894917e-09,0,2.595501670894917e-09,0.6,2.595501670894917e-09,1.48941961748012e-07
3.189541056999678e-09,0,3.189541056999678e-09,0.6,3.189541056999678e-09,1.161029294564956e-07
3.986543336329684e-09,0,3.986543336329684e-09,0.6,3.986543336329684e-09,1.503226149511802e-07
5.056859348962407e-09,0,5.056859348962407e-09,0.6,5.056859348962407e-09,1.15120846246811e-07
6.497249870301117e-09,0,6.497249870301117e-09,0.6,6.497249870301117e-09,1.510232803943302e-07
8.437559148592797e-09,0,8.437559148592797e-09,0.6,8.437559148592797e-09,1.146170805832214e-07
1.105465506118247e-08,0,1.105465506118247e-08,0.6,1.105465506118247e-08,1.513873772905152e-07
1.458782092772888e-08,0,1.458782092772888e-08,0.6,1.458782092772888e-08,1.143526227416555e-07
1.858782092772888e-08,0,1.858782092772888e-08,0.6,1.858782092772888e-08,1.5159579785504e-07
2.258782092772888e-08,0,2.258782092772888e-08,0.6,2.258782092772888e-08,1.141599198796024e-07
2.658782092772888e-08,0,2.658782092772888e-08,0.6,2.658782092772888e-08,1.517858535989448e-07
3.058782092772888e-08,0,3.058782092772888e-08,0.6,3.058782092772888e-08,1.139725317407947e-07
3.458782092772888e-08,0,3.458782092772888e-08,0.6,3.458782092772888e-08,1.519705577274117e-07
3.858782092772889e-08,0,3.858782092772889e-08,0.6,3.858782092772889e-08,1.13790526617736e-07
4.258782092772889e-08,0,4.258782092772889e-08,0.6,4.258782092772889e-08,1.521498493964565e-07
4.658782092772889e-08,0,4.658782092772889e-08,0.6,4.658782092772889e-08,1.13613961864831e-07
5.058782092772889e-08,0,5.058782092772889e-08,0.6,5.058782092772889e-08,1.523236745107439e-07
5.45878209277289e-08,0,5.45878209277289e-08,0.6,5.45878209277289e-08,1.134428882337111e-07
5.85878209277289e-08,0,5.85878209277289e-08,0.6,5.85878209277289e-08,1.524919855967499e-07
6.25878209277289e-08,0,6.25878209277289e-08,0.6,6.25878209277289e-08,1.132773499200516e-07
6.65878209277289e-08,0,6.65878209277289e-08,0.6,6.65878209277289e-08,1.526547416953716e-07
7.058782092772889e-08,0,7.058782092772889e-08,0.6,7.058782092772889e-08,1.131173846718662e-07
7.458782092772889e-08,0,7.458782092772889e-08,0.6,7.458782092772889e-08,1.52811908235536e-07
7.858782092772889e-08,0,7.858782092772889e-08,0.6,7.858782092772889e-08,1.12963023912609e-07
8.258782092772888e-08,0,8.258782092772888e-08,0.6,8.258782092772888e-08,1.529634569061931e-07
8.658782092772888e-08,0,8.658782092772888e-08,0.6,8.658782092772888e-08,1.128142928737606e-07
9.058782092772888e-08,0,9.058782092772888e-08,0.6,9.058782092772888e-08,1.531093655168243e-07
9.458782092772887e-08,0,9.458782092772887e-08,0.6,9.458782092772887e-08,1.126712107450355e-07
9.858782092772887e-08,0,9.858782092772887e-08,0.6,9.858782092772887e-08,1.532496178395254e-07
1.025878209277289e-07,0,1.025878209277289e-07,0.6,1.025878209277289e-07,1.125337908295981e-07
1.065878209277289e-07,0,1.065878209277289e-07,0.6,1.065878209277289e-07,1.533842034548025e-07
1.105878209277289e-07,0,1.105878209277289e-07,0.6,1.105878209277289e-07,1.124020407097366e-07
1.145878209277289e-07,0,1.145878209277289e-07,0.6,1.145878209277289e-07,1.535131175639708e-07
1.185878209277288e-07,0,1.185878209277288e-07,0.6,1.185878209277288e-07,1.122759624563453e-07
1.225878209277288e-07,0,1.225878209277288e-07,0.6,1.225878209277288e-07,1.536363607822461e-07
1.265878209277289e-07,0,1.265878209277289e-07,0.6,1.265878209277289e-07,1.121555527926374e-07
1.305878209277289e-07,0,1.305878209277289e-07,0.6,1.305878209277289e-07,1.53753939017137e-07
1.345878209277289e-07,0,1.345878209277289e-07,0.6,1.345878209277289e-07,1.120408032256062e-07
1.385878209277289e-07,0,1.385878209277289e-07,0.6,1.385878209277289e-07,1.538658633012267e-07
1.425878209277289e-07,0,1.425878209277289e-07,0.6,1.425878209277289e-07,1.119317002285263e-07
1.465878209277289e-07,0,1.465878209277289e-07,0.6,1.465878209277289e-07,1.539721496054302e-07
1.505878209277289e-07,0,1.505878209277289e-07,0.6,1.505878209277289e-07,1.118282254352521e-07
1.545878209277289e-07,0,1.545878209277289e-07,0.6,1.545878209277289e-07,1.540728186445034e-07
