/CK (x=0.7) X,/CK (x=0.7) Y,/D (x=0.7) X,/D (x=0.7) Y,/QD (x=0.7) X,/QD (x=0.7) Y
0,0,0,0,0,6.910941346713345e-08
9.765624999999999e-15,0,9.765624999999999e-15,0.00068359375,9.765624999999999e-15,6.933949382902549e-08
2.9296875e-14,0,2.9296875e-14,0.00205078125,2.9296875e-14,7.045076491562805e-08
6.8359375e-14,0,6.8359375e-14,0.00478515625,6.8359375e-14,7.296865264750612e-08
1.257925293461194e-13,0,1.257925293461194e-13,0.008805477054228357,1.257925293461194e-13,7.649750998840292e-08
2.406588380383582e-13,0,2.406588380383582e-13,0.01684611866268507,2.406588380383582e-13,8.635235781517081e-08
3.820329925669427e-13,0,3.820329925669427e-13,0.02674230947968598,3.820329925669427e-13,9.681496370058793e-08
6.647813016241115e-13,0,6.647813016241115e-13,0.04653469111368781,6.647813016241115e-13,1.12615888476587e-07
1.230277919738449e-12,0,1.230277919738449e-12,0.08611945438169147,1.230277919738449e-12,1.440174616621047e-07
2.344160943846836e-12,0,2.344160943846836e-12,0.1640912660692785,2.344160943846836e-12,1.717279821686807e-07
4.295386319785758e-12,0,4.295386319785758e-12,0.300677042385003,4.295386319785758e-12,1.652512479702905e-07
7.147693159892879e-12,0,7.147693159892879e-12,0.5003385211925014,7.147693159892879e-12,8.639891686019283e-08
8.573846579946439e-12,0,8.573846579946439e-12,0.6001692605962508,8.573846579946439e-12,4.275902132409054e-08
9.999999999999999e-12,0,9.999999999999999e-12,0.7,9.999999999999999e-12,-2.386379812002407e-09
1.002308264708436e-11,0,1.002308264708436e-11,0.7,1.002308264708436e-11,-3.772937232923275e-09
1.006924794125307e-11,0,1.006924794125307e-11,0.7,1.006924794125307e-11,-7.331379108094769e-09
1.016157852959049e-11,0,1.016157852959049e-11,0.7,1.016157852959049e-11,-1.450547527115538e-08
1.028544115256198e-11,0,1.028544115256198e-11,0.7,1.028544115256198e-11,-2.295393062135125e-08
1.032998472212779e-11,0,1.032998472212779e-11,0.7,1.032998472212779e-11,-2.610844185748613e-08
1.04190718612594e-11,0,1.04190718612594e-11,0.7,1.04190718612594e-11,-3.180099042104918e-08
1.059724613952261e-11,0,1.059724613952261e-11,0.7,1.059724613952261e-11,-4.260692614938613e-08
1.095359469604904e-11,0,1.095359469604904e-11,0.7,1.095359469604904e-11,-6.090553121656545e-08
1.16662918091019e-11,0,1.16662918091019e-11,0.7,1.16662918091019e-11,-8.647370065834275e-08
1.202264036562833e-11,0,1.202264036562833e-11,0.7,1.202264036562833e-11,-9.304468879214758e-08
1.273533747868118e-11,0,1.273533747868118e-11,0.7,1.273533747868118e-11,-1.001480064908993e-07
1.41607317047869e-11,0,1.41607317047869e-11,0.7,1.41607317047869e-11,-9.126765234869667e-08
1.655361904878459e-11,0,1.655361904878459e-11,0.7,1.655361904878459e-11,-3.896758626520616e-08
1.893278520576552e-11,0,1.893278520576552e-11,0.7,1.893278520576552e-11,2.638333033963901e-08
2.172045821330502e-11,0,2.172045821330502e-11,0.7,2.172045821330502e-11,9.108371102094891e-08
2.512249241868679e-11,0,2.512249241868679e-11,0.7,2.512249241868679e-11,1.306812173520679e-07
2.960071247133436e-11,0,2.960071247133436e-11,0.7,2.960071247133436e-11,1.377057427310563e-07
3.544461252400114e-11,0,3.544461252400114e-11,0.7,3.544461252400114e-11,1.120522734893192e-07
4.351059495278783e-11,0,4.351059495278783e-11,0.7,4.351059495278783e-11,7.433415992838529e-08
5.533104749506707e-11,0,5.533104749506707e-11,0.7,5.533104749506707e-11,5.55493673098953e-08
7.09256513877902e-11,0,7.09256513877902e-11,0.7,7.09256513877902e-11,6.501047694590739e-08
8.588178112326447e-11,0,8.588178112326447e-11,0.7,8.588178112326447e-11,6.760682388496898e-08
9.935530666623994e-11,0,9.935530666623994e-11,0.7,9.935530666623994e-11,6.776838520670264e-08
1.097270651890155e-10,0,1.097270651890155e-10,0.7,1.097270651890155e-10,6.937801581676967e-08
1.188923326375087e-10,0,1.188923326375087e-10,0.7,1.188923326375087e-10,6.954415157827065e-08
1.272006781096284e-10,0,1.272006781096284e-10,0.7,1.272006781096284e-10,7.162580291532889e-08
1.362690871306276e-10,0,1.362690871306276e-10,0.7,1.362690871306276e-10,1.318104703901167e-07
1.429522202303082e-10,0,1.429522202303082e-10,0.7,1.429522202303082e-10,3.170456574543871e-07
1.488138368407902e-10,0,1.488138368407902e-10,0.7,1.488138368407902e-10,3.776943398394156e-07
1.556218272950084e-10,0,1.556218272950084e-10,0.7,1.556218272950084e-10,1.109838853165955e-07
1.622705588573345e-10,0,1.622705588573345e-10,0.7,1.622705588573345e-10,-1.850542840819358e-07
1.685306828939429e-10,0,1.685306828939429e-10,0.7,1.685306828939429e-10,-2.750168226558451e-07
1.765757915892565e-10,0,1.765757915892565e-10,0.7,1.765757915892565e-10,-2.13385496184958e-07
1.879181905450651e-10,0,1.879181905450651e-10,0.7,1.879181905450651e-10,2.672835974512354e-09
1.998197047040855e-10,0,1.998197047040855e-10,0.7,1.998197047040855e-10,1.296301446120321e-07
2.112359595500249e-10,0,2.112359595500249e-10,0.7,2.112359595500249e-10,9.028583349247633e-08
2.207229972749326e-10,0,2.207229972749326e-10,0.7,2.207229972749326e-10,8.3443521001346e-08
2.274673611708336e-10,0,2.274673611708336e-10,0.7,2.274673611708336e-10,1.426119173444995e-07
2.341474891398731e-10,0,2.341474891398731e-10,0.7,2.341474891398731e-10,1.972852612504243e-07
2.44215818973486e-10,0,2.44215818973486e-10,0.7,2.44215818973486e-10,1.769288392992653e-07
2.528934339613196e-10,0,2.528934339613196e-10,0.7,2.528934339613196e-10,1.285387227803631e-07
2.64556743419556e-10,0,2.64556743419556e-10,0.7,2.64556743419556e-10,8.059623978500063e-08
2.794993237923195e-10,0,2.794993237923195e-10,0.7,2.794993237923195e-10,5.437108474119272e-08
2.992747670975822e-10,0,2.992747670975822e-10,0.7,2.992747670975822e-10,4.872397902436243e-08
3.236095093291469e-10,0,3.236095093291469e-10,0.7,3.236095093291469e-10,5.859155573663647e-08
3.561958601978924e-10,0,3.561958601978924e-10,0.7,3.561958601978924e-10,6.739001184301535e-08
4.032261584145708e-10,0,4.032261584145708e-10,0.7,4.032261584145708e-10,6.922197880924498e-08
4.827021410286423e-10,0,4.827021410286423e-10,0.7,4.827021410286423e-10,6.916985713356033e-08
6.416541062567855e-10,0,6.416541062567855e-10,0.7,6.416541062567855e-10,6.900884601118371e-08
8.396286343952848e-10,0,8.396286343952848e-10,0.7,8.396286343952848e-10,6.923064813279851e-08
1.103414521363191e-09,0,1.103414521363191e-09,0.7,1.103414521363191e-09,6.897752493757016e-08
1.439513217110185e-09,0,1.439513217110185e-09,0.7,1.439513217110185e-09,6.924740718177508e-08
1.903635003556606e-09,0,1.903635003556606e-09,0.7,1.903635003556606e-09,6.89680254661893e-08
2.527999551301345e-09,0,2.527999551301345e-09,0.7,2.527999551301345e-09,6.925284026752556e-08
3.379879263839603e-09,0,3.379879263839603e-09,0.7,3.379879263839603e-09,6.896472881540103e-08
4.526150409597114e-09,0,4.526150409597114e-09,0.7,4.526150409597114e-09,6.925491287599993e-08
6.085300949809484e-09,0,6.085300949809484e-09,0.7,6.085300949809484e-09,6.896337671290464e-08
8.197113056459524e-09,0,8.197113056459524e-09,0.7,8.197113056459524e-09,6.925581471735361e-08
1.107632384270121e-08,0,1.107632384270121e-08,0.7,1.107632384270121e-08,6.896276168129836e-08
1.498759673967403e-08,0,1.498759673967403e-08,0.7,1.498759673967403e-08,6.925624072408588e-08
1.898759673967403e-08,0,1.898759673967403e-08,0.7,1.898759673967403e-08,6.896242175502866e-08
2.298759673967403e-08,0,2.298759673967403e-08,0.7,2.298759673967403e-08,6.925656259995491e-08
2.698759673967403e-08,0,2.698759673967403e-08,0.7,2.698759673967403e-08,6.896211373907098e-08
3.098759673967403e-08,0,3.098759673967403e-08,0.7,3.098759673967403e-08,6.925685696830188e-08
3.498759673967403e-08,0,3.498759673967403e-08,0.7,3.498759673967403e-08,6.896183280946109e-08
3.898759673967404e-08,0,3.898759673967404e-08,0.7,3.898759673967404e-08,6.925712466528109e-08
4.298759673967404e-08,0,4.298759673967404e-08,0.7,4.298759673967404e-08,6.896157814163408e-08
4.698759673967404e-08,0,4.698759673967404e-08,0.7,4.698759673967404e-08,6.925736650467637e-08
