/D (x=0.8) X,/D (x=0.8) Y,/CK (x=0.8) X,/CK (x=0.8) Y,/QD (x=0.8) X,/QD (x=0.8) Y
0,0,0,0,0,4.910393769411801e-08
9.765624999999999e-15,0.00078125,9.765624999999999e-15,0,9.765624999999999e-15,4.937388105806451e-08
2.9296875e-14,0.00234375,2.9296875e-14,0,2.9296875e-14,5.074628339843011e-08
6.8359375e-14,0.005468750000000001,6.8359375e-14,0,6.8359375e-14,5.391454450706936e-08
1.254567070059807e-13,0.01003653656047846,1.254567070059807e-13,0,1.254567070059807e-13,5.837255907320831e-08
2.396513710179422e-13,0.01917210968143538,2.396513710179422e-13,0,2.396513710179422e-13,7.086445648661233e-08
3.791716811870243e-13,0.03033373449496194,3.791716811870243e-13,0,3.791716811870243e-13,8.549684820837543e-08
6.582123015251884e-13,0.05265698412201508,6.582123015251884e-13,0,6.582123015251884e-13,1.042577837035491e-07
1.216293542201517e-12,0.09730348337612132,1.216293542201517e-12,0,1.216293542201517e-12,1.295642363035851e-07
2.332456023554173e-12,0.1865964818843339,2.332456023554173e-12,0,2.332456023554173e-12,1.387438309431757e-07
4.128562189767971e-12,0.3302849751814377,4.128562189767971e-12,0,4.128562189767971e-12,9.946529088129079e-08
7.287286106323578e-12,0.5829828885058863,7.287286106323578e-12,0,7.287286106323578e-12,-3.012670082302026e-08
8.643643053161788e-12,0.6914914442529431,8.643643053161788e-12,0,8.643643053161788e-12,-5.278840655182427e-08
9.999999999999999e-12,0.8,9.999999999999999e-12,0,9.999999999999999e-12,-6.623468681951341e-08
1.009711678314537e-11,0.8,1.009711678314537e-11,0,1.009711678314537e-11,-7.146085981868214e-08
1.014567517471805e-11,0.8,1.014567517471805e-11,0,1.014567517471805e-11,-7.423265726978628e-08
1.024279195786342e-11,0.8,1.024279195786342e-11,0,1.024279195786342e-11,-7.924438091027029e-08
1.043702552415416e-11,0.8,1.043702552415416e-11,0,1.043702552415416e-11,-8.687270318790335e-08
1.07335087487877e-11,0.8,1.07335087487877e-11,0,1.07335087487877e-11,-9.405227897478111e-08
1.088175036110447e-11,0.8,1.088175036110447e-11,0,1.088175036110447e-11,-9.561081841547936e-08
1.117823358573801e-11,0.8,1.117823358573801e-11,0,1.117823358573801e-11,-9.603057125358197e-08
1.177120003500509e-11,0.8,1.177120003500509e-11,0,1.177120003500509e-11,-8.269151874667669e-08
1.295713293353924e-11,0.8,1.295713293353924e-11,0,1.295713293353924e-11,-4.370460684225081e-08
1.43481906602775e-11,0.8,1.43481906602775e-11,0,1.43481906602775e-11,1.61286518031474e-08
1.605075825086283e-11,0.8,1.605075825086283e-11,0,1.605075825086283e-11,8.219628236817054e-08
1.811682645095588e-11,0.8,1.811682645095588e-11,0,1.811682645095588e-11,1.216416336004387e-07
2.076340192441908e-11,0.8,2.076340192441908e-11,0,2.076340192441908e-11,1.285325343108937e-07
2.418981169854077e-11,0.8,2.418981169854077e-11,0,2.418981169854077e-11,1.010238937862914e-07
2.889719861185658e-11,0.8,2.889719861185658e-11,0,2.889719861185658e-11,5.75220751087293e-08
3.582204557409247e-11,0.8,3.582204557409247e-11,0,3.582204557409247e-11,3.237025761789284e-08
4.370938574619094e-11,0.8,4.370938574619094e-11,0,4.370938574619094e-11,4.607674322825519e-08
5.191623846539643e-11,0.8,5.191623846539643e-11,0,5.191623846539643e-11,4.857463149445797e-08
5.788557656995878e-11,0.8,5.788557656995878e-11,0,5.788557656995878e-11,4.214838577860695e-08
6.266130737400224e-11,0.8,6.266130737400224e-11,0,6.266130737400224e-11,4.497221463849248e-08
6.752862037167403e-11,0.8,6.752862037167403e-11,0,6.752862037167403e-11,4.914402244274684e-08
7.085018689193859e-11,0.8,7.085018689193859e-11,0,7.085018689193859e-11,8.270979718534069e-08
7.45400589266158e-11,0.8,7.45400589266158e-11,0,7.45400589266158e-11,2.920876698412197e-07
7.742522009836825e-11,0.8,7.742522009836825e-11,0,7.742522009836825e-11,5.896420596388697e-07
8.068025965436489e-11,0.8,8.068025965436489e-11,0,8.068025965436489e-11,5.019269080171625e-07
8.369470780984784e-11,0.8,8.369470780984784e-11,0,8.369470780984784e-11,1.12063235430126e-07
8.694407029209049e-11,0.8,8.694407029209049e-11,0,8.694407029209049e-11,-2.559326366756149e-07
9.045609103500457e-11,0.8,9.045609103500457e-11,0,9.045609103500457e-11,-4.331732244415809e-07
9.534038227603648e-11,0.8,9.534038227603648e-11,0,9.534038227603648e-11,-5.159474919472911e-07
1.012198869234142e-10,0.8,1.012198869234142e-10,0,1.012198869234142e-10,-2.772264135450368e-07
1.068490136484233e-10,0.8,1.068490136484233e-10,0,1.068490136484233e-10,7.753360029337407e-08
1.119188262133898e-10,0.8,1.119188262133898e-10,0,1.119188262133898e-10,1.349892425167948e-07
1.155777875718615e-10,0.8,1.155777875718615e-10,0,1.155777875718615e-10,1.499178463425199e-07
1.194146068883454e-10,0.8,1.194146068883454e-10,0,1.194146068883454e-10,2.323942232226636e-07
1.231549781678144e-10,0.8,1.231549781678144e-10,0,1.231549781678144e-10,2.860625639797274e-07
1.284505523290841e-10,0.8,1.284505523290841e-10,0,1.284505523290841e-10,2.510267546158125e-07
1.337133473042958e-10,0.8,1.337133473042958e-10,0,1.337133473042958e-10,1.709918835525407e-07
1.406029663529316e-10,0.8,1.406029663529316e-10,0,1.406029663529316e-10,8.451963998528448e-08
1.495196554758363e-10,0.8,1.495196554758363e-10,0,1.495196554758363e-10,3.305556798940056e-08
1.60587135849377e-10,0.8,1.60587135849377e-10,0,1.60587135849377e-10,1.88744301908886e-08
1.739937939198233e-10,0.8,1.739937939198233e-10,0,1.739937939198233e-10,2.950449317448599e-08
1.911164257925026e-10,0.8,1.911164257925026e-10,0,1.911164257925026e-10,4.237572565149209e-08
2.146911393351765e-10,0.8,2.146911393351765e-10,0,2.146911393351765e-10,4.910052311075143e-08
2.504399643098225e-10,0.8,2.504399643098225e-10,0,2.504399643098225e-10,4.888166332766164e-08
3.132652661876843e-10,0.8,3.132652661876843e-10,0,3.132652661876843e-10,4.937182072693798e-08
4.121989812948941e-10,0.8,4.121989812948941e-10,0,4.121989812948941e-10,4.881688792051269e-08
5.400471522502052e-10,0.8,5.400471522502052e-10,0,5.400471522502052e-10,4.940262200293026e-08
7.069606388489258e-10,0.8,7.069606388489258e-10,0,7.069606388489258e-10,4.87977483283902e-08
9.289057283170841e-10,0.8,9.289057283170841e-10,0,9.289057283170841e-10,4.941511731163289e-08
1.231704294871602e-09,0.8,1.231704294871602e-09,0,1.231704294871602e-09,4.878940789871586e-08
1.644690344363995e-09,0.8,1.644690344363995e-09,0,1.644690344363995e-09,4.94207748801392e-08
2.204976464463981e-09,0.8,2.204976464463981e-09,0,2.204976464463981e-09,4.878547450836109e-08
2.969062098472144e-09,0.8,2.969062098472144e-09,0,2.969062098472144e-09,4.942355486182366e-08
4.007858416978707e-09,0.8,4.007858416978707e-09,0,4.007858416978707e-09,4.878349152937492e-08
5.432368560945782e-09,0.8,5.432368560945782e-09,0,5.432368560945782e-09,4.942497799289005e-08
7.375236436157104e-09,0.8,7.375236436157104e-09,0,7.375236436157104e-09,4.878246713618271e-08
1.004710680596851e-08,0.8,1.004710680596851e-08,0,1.004710680596851e-08,4.94257182126817e-08
1.369826772477718e-08,0.8,1.369826772477718e-08,0,1.369826772477718e-08,4.878193178423582e-08
1.769826772477717e-08,0.8,1.769826772477717e-08,0,1.769826772477717e-08,4.942614817042016e-08
2.169826772477717e-08,0.8,2.169826772477717e-08,0,2.169826772477717e-08,4.878152361536578e-08
2.569826772477717e-08,0.8,2.569826772477717e-08,0,2.569826772477717e-08,4.942655426770229e-08
2.969826772477717e-08,0.8,2.969826772477717e-08,0,2.969826772477717e-08,4.878111957589104e-08
3.369826772477717e-08,0.8,3.369826772477717e-08,0,3.369826772477717e-08,4.942695626321734e-08
